competition_year,competitions,results,attempts,active_competitors,entrants,returning_competitors,valid_n,dnf_n,dns_n,no_result_n,dnf_rate,dns_rate,p10_seconds,p25_seconds,p50_seconds,p75_seconds,p90_seconds,hhi,top_1pct_share,top_5pct_share,top_10pct_share
1982,1,19,57,19,19,0,56.0,1.0,0.0,0.0,0.017543859649122806,0.0,25.505,27.8925,31.5,36.84,47.32,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684
2003,2,130,399,85,83,2,398.0,1.0,0.0,0.0,0.002506265664160401,0.0,19.798000000000002,22.8375,29.825,52.445,83.42,0.015420757407302718,0.03258145363408521,0.14786967418546365,0.2506265664160401
2004,12,471,1811,204,175,29,1775.0,36.0,0.0,0.0,0.019878520154610713,0.0,19.408,24.075,31.12,46.345,76.696,0.009412690896573215,0.07840971838763114,0.21811154058531199,0.3451131971286582
2005,24,1147,4746,520,389,131,4656.0,84.0,6.0,0.0,0.017699115044247787,0.0012642225031605564,17.42,20.77,27.64,42.005,67.005,0.004376209459950216,0.08280657395701643,0.230299199325748,0.36746734091866834
2006,33,1948,8478,821,568,253,8305.0,145.0,28.0,0.0,0.017103090351497995,0.0033026657230478887,16.62,19.65,25.78,39.84,63.57400000000007,0.002772673187519857,0.07985373908940788,0.24734607218683652,0.3744987025241802
2007,53,3644,16851,1457,992,465,16514.0,308.0,29.0,0.0,0.018277847012046763,0.0017209661147706368,15.31,18.3825,24.56,39.4975,65.70400000000001,0.0017531753074834242,0.09251676458370423,0.26526615631119815,0.394694676873776
2008,109,7834,36445,2943,2131,812,35483.0,947.0,15.0,0.0,0.02598435999451228,0.00041157909178213747,14.71,17.5,22.81,34.58,58.20599999999999,0.001062031784551568,0.10906845932226643,0.3041843874331184,0.43331046782823435
2009,163,13354,65618,4889,3445,1444,63546.0,1874.0,198.0,0.0,0.02855923679478192,0.0030174647200463286,14.21,16.91,22.09,33.31,56.92,0.0006111249278159376,0.1053979091103051,0.29345606388490963,0.42607211435886494
2010,218,17874,89029,6013,3807,2206,86440.0,2486.0,103.0,0.0,0.027923485605813834,0.0011569263947702434,13.19,15.66,20.02,29.25,50.16200000000011,0.00046956731455828036,0.09620460748744791,0.2852778308191713,0.4237158678632805
2011,290,22147,109697,7015,4167,2848,106737.0,2855.0,105.0,0.0,0.02602623590435472,0.0009571820560270564,12.18,14.5,18.46,26.46,45.19800000000017,0.00039508621276635516,0.09199886961357193,0.27686263070093076,0.42105071241693026
2012,296,23816,117928,7571,4188,3383,114970.0,2847.0,111.0,0.0,0.024141849263957668,0.0009412522895325962,11.78,13.97,17.81,25.88,43.521000000000065,0.0003900958407259967,0.1004765619700156,0.28659012278678514,0.424513262329557
2013,353,31232,155435,9967,6018,3949,151311.0,4021.0,103.0,0.0,0.02586933444848329,0.0006626564158651526,11.69,14.08,18.34,27.47,46.21,0.00028419486144273836,0.0936018271303117,0.28415736481487436,0.4261395438607778
2014,470,44963,223383,14110,8954,5156,217227.0,5980.0,176.0,0.0,0.02677016603770206,0.0007878844853905624,11.52,13.96,18.41,28.26,48.47,0.00021859316069625445,0.1032844934484719,0.2996020288025499,0.4400066253922635
2015,555,57574,285982,18619,11789,6830,279237.0,6578.0,167.0,0.0,0.023001447643557986,0.0005839528361924876,11.21,13.61,18.05,27.82,45.91,0.00016139407380669267,0.10063220762145869,0.29786839731171894,0.43629669000146865
2016,658,78981,393962,26383,17155,9228,384933.0,8733.0,296.0,0.0,0.022167112564155933,0.0007513414999416187,10.86,13.31,17.78,27.25,44.64999999999999,0.00012006661535567791,0.11052842659951975,0.3029733832197014,0.43517902741888814
2017,874,113642,567802,35242,22482,12760,554928.0,12565.0,309.0,0.0,0.02212919292288509,0.0005442037893491041,10.52,12.88,16.97,25.3,41.64,9.49010928899248e-05,0.1144219287709448,0.30831170020535326,0.4444524675855316
2018,1080,138643,693098,41637,24835,16802,677655.0,15166.0,277.0,0.0,0.02188146553589824,0.0003996548828592782,10.14,12.41,16.41,24.98,41.97,8.266444502716615e-05,0.11763848690949909,0.3185148420569674,0.452019772095721
2019,1211,154789,773867,46273,26636,19637,757204.0,16363.0,300.0,0.0,0.021144460223785223,0.0003876635132393551,9.84,12.07,16.06,24.54,41.59,7.34782459912281e-05,0.11567879235062356,0.31302019597682806,0.4461890738331005
2020,221,26315,131554,12183,4442,7741,128772.0,2710.0,72.0,0.0,0.020599905742128707,0.0005473037687945635,9.61,11.76,15.64,23.54,38.47,0.0001441068094017505,0.058911169557748146,0.19638323426121593,0.30778235553460936
2021,217,22311,111543,9135,4318,4817,109320.0,2194.0,29.0,0.0,0.019669544480603894,0.00025998942112010615,8.8,10.65,13.97,20.77,34.44,0.0002494438755217998,0.08543790287153832,0.2418798131662229,0.3605963619411348
2022,918,132117,660384,36678,25348,11330,647044.0,13135.0,205.0,0.0,0.019889942821146485,0.00031042544943547996,9.13,11.3,15.36,23.67,37.46,8.961058075117322e-05,0.11128676648737704,0.3060810074138683,0.44186109899694725
2023,1776,252375,1261770,58991,36418,22573,1236031.0,25280.0,459.0,0.0,0.020035347171037513,0.00036377469744882187,9.1,11.31,15.44,23.8,37.67,6.384006661773341e-05,0.12234400881301663,0.33295450042400754,0.4743392218867147
2024,2146,279849,1398951,61463,31673,29790,1372326.0,26147.0,478.0,0.0,0.01869043304590368,0.00034168459081125786,8.82,10.88,14.62,22.48,36.48,6.138617291718689e-05,0.1216590145044394,0.3356200467350179,0.4791375823742218
2025,2170,260393,1301818,58688,27204,31484,1277906.0,23567.0,345.0,0.0,0.018103144986472763,0.0002650140034935759,8.54,10.48,13.97,21.26,35.17,6.276262614230095e-05,0.11803109190378379,0.33186973908795236,0.478844200955894
2026,1466,173286,867416,45849,18461,27388,851678.0,15536.0,202.0,0.0,0.017910668007046215,0.0002328755752718419,8.31,10.28,13.79,21.17,35.35,6.874492690823232e-05,0.10635035553874958,0.2996347773156133,0.4368849548544182
