competition_year,round_type_id,format_id,results,attempts,dnf_rate,dns_rate
1982,f,3,19,57,0.017543859649122806,0.0
2003,1,3,83,249,0.0,0.0
2003,2,3,32,96,0.010416666666666666,0.0
2003,f,2,7,14,0.0,0.0
2003,f,a,8,40,0.0,0.0
2004,1,3,240,720,0.0375,0.0
2004,1,a,13,65,0.0,0.0
2004,2,3,32,96,0.0,0.0
2004,2,a,80,400,0.005,0.0
2004,f,a,106,530,0.013207547169811321,0.0
2005,1,3,349,1047,0.04680038204393505,0.0038204393505253103
2005,1,a,320,1600,0.0125,0.00125
2005,2,3,12,36,0.0,0.0
2005,2,a,210,1050,0.005714285714285714,0.0
2005,d,2,77,118,0.01694915254237288,0.0
2005,f,a,179,895,0.00782122905027933,0.0
2006,1,2,153,306,0.016339869281045753,0.0032679738562091504
2006,1,3,361,1083,0.03139427516158818,0.00554016620498615
2006,1,a,664,3320,0.01716867469879518,0.005421686746987952
2006,2,a,354,1770,0.011299435028248588,0.0
2006,b,a,67,335,0.026865671641791045,0.0
2006,d,a,49,164,0.04878048780487805,0.018292682926829267
2006,f,a,300,1500,0.008,0.0
2007,0,2,75,150,0.013333333333333334,0.0
2007,0,3,68,204,0.0196078431372549,0.0
2007,1,2,68,136,0.051470588235294115,0.014705882352941176
2007,1,3,382,1146,0.04363001745200698,0.004363001745200698
2007,1,a,1786,8930,0.018141097424412094,0.0006718924972004479
2007,2,3,20,60,0.0,0.0
2007,2,a,654,3270,0.013149847094801223,0.0012232415902140672
2007,b,a,51,255,0.01568627450980392,0.0
2007,f,a,540,2700,0.013333333333333334,0.0044444444444444444
2008,0,2,82,164,0.024390243902439025,0.0
2008,0,3,166,498,0.05421686746987952,0.0
2008,1,2,268,536,0.061567164179104475,0.0
2008,1,3,405,1215,0.06419753086419754,0.0
2008,1,a,3680,18400,0.02809782608695652,0.0005434782608695652
2008,2,a,1478,7390,0.017456021650879568,0.0
2008,b,a,9,45,0.044444444444444446,0.0
2008,d,a,502,1977,0.032878098128477494,0.0025290844714213456
2008,f,a,1244,6220,0.014790996784565916,0.0
2009,0,3,117,351,0.04843304843304843,0.005698005698005698
2009,0,a,193,965,0.03730569948186528,0.0010362694300518134
