previous_status,next_status,previous_position,finality,era,n,probability
DNF,DNF,1,final,2010-2019,28,0.027184466019417475
DNF,DNF,1,final,2020+,83,0.043229166666666666
DNF,DNF,1,nonfinal,2010-2019,1157,0.0770306258322237
DNF,DNF,1,nonfinal,2020+,1315,0.07062677909662173
DNF,DNF,1,nonfinal,pre2010,81,0.10384615384615385
DNF,DNF,2,final,2010-2019,34,0.03225806451612903
DNF,DNF,2,final,2020+,85,0.042821158690176324
DNF,DNF,2,final,pre2010,1,0.01694915254237288
DNF,DNF,2,nonfinal,2010-2019,970,0.06807495262825461
DNF,DNF,2,nonfinal,2020+,1143,0.06008200168208579
DNF,DNF,2,nonfinal,pre2010,50,0.08680555555555555
DNF,DNF,3,final,2010-2019,42,0.03790613718411552
DNF,DNF,3,final,2020+,107,0.05166586190246258
DNF,DNF,3,final,pre2010,2,0.03571428571428571
DNF,DNF,3,nonfinal,2010-2019,905,0.06533352584464337
DNF,DNF,3,nonfinal,2020+,1137,0.059360968988200896
DNF,DNF,3,nonfinal,pre2010,36,0.07142857142857142
DNF,DNF,4,final,2010-2019,49,0.04198800342759212
DNF,DNF,4,final,2020+,112,0.05070167496604799
DNF,DNF,4,final,pre2010,3,0.05660377358490566
DNF,DNF,4,nonfinal,2010-2019,930,0.06871582680656126
DNF,DNF,4,nonfinal,2020+,1206,0.06452303247552298
DNF,DNF,4,nonfinal,pre2010,44,0.09224318658280922
DNF,DNF,5,final,2020+,1,1.0
DNF,DNS,1,final,2010-2019,1,0.000970873786407767
DNF,DNS,1,final,2020+,2,0.0010416666666666667
DNF,DNS,1,nonfinal,2010-2019,57,0.003794940079893475
DNF,DNS,1,nonfinal,2020+,46,0.002470594553950266
DNF,DNS,1,nonfinal,pre2010,9,0.011538461538461539
DNF,DNS,2,final,2010-2019,4,0.003795066413662239
DNF,DNS,2,final,2020+,15,0.007556675062972292
DNF,DNS,2,final,pre2010,3,0.05084745762711865
DNF,DNS,2,nonfinal,2010-2019,145,0.01017615271247105
DNF,DNS,2,nonfinal,2020+,138,0.007253994953742641
DNF,DNS,2,nonfinal,pre2010,4,0.006944444444444444
DNF,DNS,3,final,2010-2019,14,0.01263537906137184
DNF,DNS,3,final,2020+,19,0.009174311926605505
DNF,DNS,3,nonfinal,2010-2019,131,0.00945711810568871
DNF,DNS,3,nonfinal,2020+,148,0.007726845567505482
DNF,DNS,3,nonfinal,pre2010,9,0.017857142857142856
DNF,DNS,4,final,2010-2019,11,0.009425878320479864
DNF,DNS,4,final,2020+,15,0.006790402897238569
DNF,DNS,4,final,pre2010,1,0.018867924528301886
DNF,DNS,4,nonfinal,2010-2019,148,0.010935421900398996
DNF,DNS,4,nonfinal,2020+,174,0.009309293242737146
DNF,DNS,4,nonfinal,pre2010,9,0.018867924528301886
DNF,VALID,1,final,2010-2019,1001,0.9718446601941747
DNF,VALID,1,final,2020+,1835,0.9557291666666666
DNF,VALID,1,final,pre2010,53,1.0
DNF,VALID,1,nonfinal,2010-2019,13806,0.9191744340878828
DNF,VALID,1,nonfinal,2020+,17258,0.926902626349428
DNF,VALID,1,nonfinal,pre2010,690,0.8846153846153846
DNF,VALID,2,final,2010-2019,1016,0.9639468690702088
DNF,VALID,2,final,2020+,1885,0.9496221662468514
DNF,VALID,2,final,pre2010,55,0.9322033898305084
DNF,VALID,2,nonfinal,2010-2019,13134,0.9217488946592743
DNF,VALID,2,nonfinal,2020+,17743,0.9326640033641715
DNF,VALID,2,nonfinal,pre2010,522,0.90625
DNF,VALID,3,final,2010-2019,1052,0.9494584837545126
DNF,VALID,3,final,2020+,1945,0.939159826170932
