era,skill_quartile,round_type_id,format_id,depth_stratum,n,lag_corr,lag_slope,mean_next_minus_current
1982-2003,ALL,ALL,ALL,ALL,221,0.6928106197930665,0.7453214496553177,-0.00012213355559523184
2004-2009,ALL,ALL,ALL,ALL,91198,0.6846407638696104,0.6819590565607963,7.763631799992725e-05
2010-2015,ALL,ALL,ALL,ALL,690733,0.6467025984460201,0.6457567647027546,-0.00012467401360712716
2016-2019,ALL,ALL,ALL,ALL,1709597,0.6297087741884615,0.6293947217330413,-9.412656032142486e-05
2020-2022,ALL,ALL,ALL,ALL,648817,0.6054332488543488,0.6049510998698819,-7.105453383677203e-05
2023-2026,ALL,ALL,ALL,ALL,3537852,0.43660249650708693,0.4363941015769693,-8.148642354064526e-05
ALL,1,ALL,ALL,ALL,3442139,0.4156632508868357,0.4166803854392022,0.0006693785315655714
ALL,2,ALL,ALL,ALL,1890393,0.5755053520046088,0.5750706555970321,1.980905438894714e-05
ALL,3,ALL,ALL,ALL,919203,0.6647376837795436,0.6620882626024703,-0.0013576938267382812
ALL,4,ALL,ALL,ALL,425897,0.6858302507592097,0.6816788785479333,-0.003927023807462489
ALL,ALL,0,ALL,ALL,1851,0.7414828247703492,0.7259314248962317,-0.0015039825414416264
ALL,ALL,1,ALL,ALL,3318305,0.6142504273820921,0.6121137408762961,-0.00015700692087443024
ALL,ALL,2,ALL,ALL,2044345,0.44930564861357747,0.45062140740459994,-7.158948643149686e-05
ALL,ALL,3,ALL,ALL,162697,0.3149219091238536,0.3174159730541313,1.31889060582841e-05
ALL,ALL,ALL,2,ALL,909,0.7718366398804105,0.7687053952138209,0.003068156263627212
ALL,ALL,ALL,3,ALL,4475,0.7088254844933392,0.7117602935170574,-0.000564557164488923
ALL,ALL,ALL,ALL,1,203484,0.2533848955714164,0.25230617258739796,-0.0029446091798422955
ALL,ALL,ALL,ALL,2-4,1179260,0.6346258539787304,0.6313686467766152,-0.0025621130288939965
ALL,ALL,ALL,ALL,20+,2968024,0.48155216464070316,0.4830888075004553,0.00123792155008632
ALL,ALL,ALL,ALL,5-19,2327650,0.5727414759910542,0.5716325920437181,-0.000269788222936825
ALL,ALL,ALL,ALL,ALL,786,0.5594946450031564,0.5681962904507386,0.005843637376692709
ALL,ALL,ALL,ALL,ALL,6678418,0.5481453504506384,0.5477499663853462,-8.600389360923768e-05
ALL,ALL,ALL,a,ALL,6671324,0.5479333902487317,0.5475356823775279,-8.675148624851645e-05
ALL,ALL,ALL,h,ALL,1710,0.14721842693331394,0.1468618798123396,0.0024062926098428524
ALL,ALL,b,ALL,ALL,458,0.7750111698703194,0.7696982830881919,-0.0020907701209295073
ALL,ALL,c,ALL,ALL,8779,0.4960170788716108,0.4987962377885415,-0.0002455101864059472
ALL,ALL,d,ALL,ALL,265402,0.6218732435143677,0.6205155275580824,0.0005812853849443052
ALL,ALL,e,ALL,ALL,13668,0.40676865129702633,0.4074245768385231,-0.00028029347499122846
ALL,ALL,f,ALL,ALL,862666,0.34616598088805944,0.3490839109314848,-6.20832657710164e-05
ALL,ALL,g,ALL,ALL,247,0.08749448924221519,0.09014166639182994,-0.0006260689518893918
