attempt_number,n,mean_log_time,mean_person_resid,mean_adjusted_residual,sd_adjusted_residual
1,1704455,2.803740445127717,0.0047424262414525456,2.258622575748977e-17,0.23621097044335937
2,1703263,2.800946067068888,0.0013454154682087673,-1.9189617719027894e-19,0.23523520212365367
3,1700929,2.797718328956812,-0.0012112627311450467,-1.5573273892758918e-17,0.2345289839983186
4,1698519,2.795989970378737,-0.0025923866914505616,1.0926799322264759e-17,0.23442814566953038
5,1692413,2.795941368366499,-0.002863920534952685,-8.279245520560983e-18,0.23562281300350268
6,98,1.9253994179296396,-0.11621797098484456,0.0,0.14692863917823937
7,92,1.9222960089430858,-0.10681615533931157,0.0,0.1539191971333687
8,82,1.917590700868288,-0.10293040730331615,1.3539305178355568e-18,0.16548904147294183
9,76,1.9106843788823817,-0.11641449185506417,-1.7529837230923523e-17,0.21238429128250164
10,71,1.9133482760899392,-0.10318979034664093,1.407324960792452e-17,0.17458002496150546
11,69,1.8821738353823279,-0.1304905064347693,-3.700743415417188e-17,0.15748629892271823
12,68,1.9022692364498188,-0.11466286585174292,-9.79608551139844e-18,0.1835444140438266
13,66,1.8934651882797195,-0.12610419186415617,-8.410780489584519e-19,0.16912220586091495
14,65,1.8655701566995289,-0.14769716328857804,2.5620531337503614e-18,0.16642322424045697
15,63,1.890803651301395,-0.13014619574396666,3.876969292341816e-17,0.13872375298506565
16,56,1.9413790182228035,-0.1011571508270894,0.0,0.1794665447048652
17,52,1.8847645167931146,-0.15738833950010933,4.270088556250602e-18,0.17682495713691374
18,49,1.8917382260840176,-0.14836287901575518,-9.063045098980869e-18,0.1486651262242088
19,45,1.9074380301017517,-0.13558639248388868,1.0485439677015367e-17,0.14621980713982072
20,42,1.870892680277092,-0.15481581911730657,-2.2468799307890073e-17,0.14175938386716483
21,36,1.926486549576796,-0.1112928378405911,-1.2335811384723961e-17,0.19106572294459537
22,32,1.8805284347640292,-0.1591966563049925,-1.3877787807814457e-17,0.16289969202403365
23,26,1.857133806000784,-0.18067063594539826,0.0,0.12246274614122092
24,24,1.9177168190774256,-0.1334479718402722,9.25185853854297e-18,0.17362411899853697
25,19,1.9509476571595483,-0.08403493527252248,0.0,0.21893516715400269
26,18,1.8694807340030932,-0.17014576988754634,-4.625929269271485e-18,0.08007606920587011
27,16,1.8700016381708275,-0.18354867324244856,-2.0816681711721685e-17,0.1502143948553175
28,11,1.9426778889406195,-0.10009174413091228,-5.046468293750712e-18,0.1499132646388765
29,7,1.9546225889126698,-0.09802080211707127,-3.96508223080413e-18,0.14917194319647514
30,3,2.0162969705708615,-0.02107888007116158,-4.625929269271485e-18,0.15677607240953473
31,3,1.9008850564954758,-0.1050675483669421,0.0,0.0633591756874675
32,1,1.7011051009599243,-0.3377849985332808,0.0,
33,1,1.8325814637483102,-0.20630863574489489,0.0,
34,1,1.8373699804801074,-0.20152011901309774,0.0,
35,1,1.6213664832993742,-0.41752361619383094,0.0,
36,1,1.9213246735826988,-0.11756542591050634,0.0,
37,1,1.9572739077056285,-0.08161619178757662,0.0,
38,1,1.927164106234258,-0.11172599325894716,0.0,
