skill_quartile,depth_stratum,competition_index_bin,person_competitions,competitors,median_log_time,mean_log_time,mean_dnf_rate,mean_years_since_first,mean_change_from_previous,mean_change_after_180d_gap
1,1,1,23258,23258,2.907064961334936,2.868200101669238,0.02310919366986085,0.0,,
1,2-4,1,26278,26278,2.971025925853093,2.961311352874385,0.027189508447594726,0.0,,
1,2-4,2,26278,26278,2.8213298121797368,2.7972169635197104,0.02081125327472063,0.9140874188857928,-0.16416497321001366,-0.22314543276564466
1,2-4,3,12798,12798,2.7455548728893087,2.7335364328653844,0.020133354169922523,1.5800881072722737,-0.05701806154229733,-0.07463611703309199
1,2-4,4,5011,5011,2.696319096712146,2.6924286359210265,0.017411694272600274,2.303083008274149,-0.03138473362462028,-0.04188665587444791
1,20+,1,4324,4324,2.9496883350525844,2.9439556114275063,0.025445486135819158,0.0,,
1,20+,10,4324,4324,2.491040910473963,2.4924068993141755,0.015086339808818973,2.506233471524821,-0.014403689883192137,-0.041357095763173174
1,20+,11-20,43240,4324,2.4344901638739844,2.438890104405416,0.014382248798345144,3.60148606044732,-0.008524509038718544,-0.014340216530480414
1,20+,2,4324,4324,2.788409018936476,2.759962567572608,0.01928913670356778,0.49296002997058463,-0.18402858661977747,-0.3289139078177142
1,20+,21-50,60417,4009,2.3441772077109997,2.351795078271995,0.012966044265540351,5.637675539704647,-0.0031098891936484985,-0.005768443749822972
1,20+,3,4324,4324,2.7039431570713623,2.6854761727425687,0.019823465926611154,0.8307287283320446,-0.07442354474088331,-0.13597000014628705
1,20+,4,4324,4324,2.647285928001714,2.6363831123553947,0.01809518726725016,1.1213894698234939,-0.04913672650925023,-0.0925578993637293
1,20+,5,4324,4324,2.6066081576707885,2.5985986633749194,0.01735275979031759,1.3797398693277512,-0.03765730336242229,-0.07456886630547081
1,20+,51+,28623,905,2.263844264677615,2.2773832097672426,0.011374834813235868,8.964331766767794,-0.0007669834860785751,0.0001866993529471836
1,20+,6,4324,4324,2.5742597662889337,2.56844595551717,0.018193920633791112,1.6246957996308473,-0.030141475536677502,-0.06256617656889404
1,20+,7,4324,4324,2.5466320965768108,2.5454932241084833,0.016859389454209048,1.8535655764851575,-0.02294790255484029,-0.04761667622579964
1,20+,8,4324,4324,2.5257286443082556,2.525181853731058,0.016551032994141214,2.0786108948930733,-0.02028204560558709,-0.042514142210281096
1,20+,9,4324,4324,2.50715725872282,2.506788608414826,0.015171407377697826,2.302845732040826,-0.01837862311416875,-0.047492218787942936
1,5-19,1,16877,16877,2.958465319051095,2.945162985414074,0.026372278909755954,0.0,,
1,5-19,10,5870,5870,2.510929344279334,2.5181792126296405,0.015244179443498011,3.507406732259129,-0.011398732452747078,-0.01664513584860783
1,5-19,11-20,19858,4840,2.474013853752039,2.482808574114061,0.013884138279218442,4.324007640569461,-0.006296965280633797,-0.005699253947083462
1,5-19,2,16877,16877,2.7984971368369234,2.77506497316074,0.02049471023666674,0.5816247613204683,-0.17009206998628146,-0.27203447287728794
1,5-19,3,16877,16877,2.7206373166076814,2.7077741483964224,0.019766546187118577,1.0550688581929155,-0.06725975423426321,-0.10399077890655455
1,5-19,4,16877,16877,2.6696557531252303,2.661252523743382,0.018406707353202642,1.522321395023369,-0.046524226585499144,-0.06679936321305775
1,5-19,5,16877,16877,2.6329670721924963,2.630073532385051,0.01767903345494156,2.069665458152942,-0.031238351558714947,-0.04239798680281214
1,5-19,6,13330,13330,2.6026896854443837,2.5995728051848017,0.017241810452613294,2.3845177705440985,-0.024438773612202504,-0.03357149434894993
1,5-19,7,10685,10685,2.5767324949342783,2.5752164985064745,0.017524687136292294,2.6539581914873795,-0.018866645898604102,-0.025009263630806987
1,5-19,8,8669,8669,2.548663615590751,2.5507948819682857,0.016840337857756297,2.9542632468673244,-0.0172367115330068,-0.02069102253416162
1,5-19,9,7103,7103,2.532902848056256,2.533741364066591,0.015176685907363095,3.2434638678488414,-0.012055043292382512,-0.017860413604448556
2,1,1,31254,31254,3.3083508312958037,3.303488041786615,0.02978642030523333,0.0,,
2,2-4,1,25026,25026,3.389799336709786,3.411124399728824,0.032668435083922524,0.0,,
2,2-4,2,25026,25026,3.2108436531709366,3.210858304704357,0.027543651305938242,0.6781280151722586,-0.20033439280715376,-0.2719224628543423
2,2-4,3,11323,11323,3.1138807002930102,3.113517338797401,0.025703752516434784,1.2568591463350434,-0.09230490147493021,-0.12266712469268654
2,2-4,4,4213,4213,3.049385321816014,3.0458576461154947,0.022549252314265366,1.9029571476887714,-0.0529172660661801,-0.07731250557325202
2,20+,1,2360,2360,3.3870984572826535,3.410426669859658,0.03292372881355928,0.0,,
2,20+,10,2360,2360,2.7414849771884473,2.743961848988358,0.016327683615819197,2.4455008589023106,-0.02397944312614425,-0.053365335953568425
2,20+,11-20,23600,2360,2.656162645389396,2.665477867329705,0.015194562146892647,3.563597461310531,-0.012538256408248865,-0.02493376197210714
2,20+,2,2360,2360,3.1755507001298273,3.180870594837785,0.02329146489104113,0.3790841074591376,-0.22959156724622248,-0.3658664707048409
2,20+,21-50,33475,2190,2.5321076193859176,2.543603332832225,0.013794440669759926,5.792233538274051,-0.004226878138921206,-0.00220963327901446
2,20+,3,2360,2360,3.0596139170773116,3.052958420056909,0.023795903954802224,0.7179998707615083,-0.12797197609021727,-0.21636916958689903
2,20+,4,2360,2360,2.9652730660692823,2.96629762660533,0.021687853107344605,1.0415218679300948,-0.08675688687236179,-0.1561500535364434
2,20+,5,2360,2360,2.9030685886905716,2.904975251737254,0.0218785310734463,1.3191560796095185,-0.06135787717537938,-0.12827866829544246
2,20+,51+,18314,537,2.4096441652874536,2.402063685891714,0.012644468649265744,9.159460388607917,-0.0007952799648949687,0.004437635268508645
2,20+,6,2360,2360,2.8605481668652333,2.8614101546235404,0.02057960048426148,1.5550789741155249,-0.043490162146318206,-0.08136898357005536
2,20+,7,2360,2360,2.8252578898200826,2.8240016713939933,0.017274011299435014,1.8019929410724687,-0.037433677519683156,-0.06526200268945924
2,20+,8,2360,2360,2.797281334830153,2.7950738114508327,0.01573446327683614,2.0247263166113343,-0.02881075228211412,-0.07288904925198572
2,20+,9,2360,2360,2.7666334757879407,2.7680857734613356,0.01638852672750976,2.238947817696695,-0.027158367364394385,-0.0587028250578637
2,5-19,1,12096,12096,3.389124800427886,3.411695231870807,0.030688027525825286,0.0,,
2,5-19,10,3684,3684,2.7712813504450233,2.784652597189995,0.01626854867897211,3.2039635856287134,-0.01811831696857928,-0.031252596780070606
2,5-19,11-20,12109,3013,2.719319793360441,2.728010401156549,0.016426487185839837,4.012646799228408,-0.0099387107184573,-0.006430672161676098
2,5-19,2,12096,12096,3.1912990570979662,3.1939581913263124,0.028437415621195464,0.42121372902463594,-0.21778046321163538,-0.33275065323610803
2,5-19,3,12096,12096,3.0791538816930633,3.0782109518416365,0.02443706604792924,0.847160623841528,-0.11568575980120761,-0.1773366453504216
2,5-19,4,12096,12096,3.0037004432031678,3.0047755723495877,0.023207691641471503,1.2787587524748465,-0.07351865735345503,-0.10900582321674505
2,5-19,5,12096,12096,2.9496883350525844,2.9562770293360114,0.021670422693488286,1.7910402572647546,-0.048397506993233405,-0.06540151843230757
2,5-19,6,9221,9221,2.89977188240808,2.908516199409074,0.020451505621227006,2.0796590540017488,-0.0375794601054422,-0.052912846963716724
2,5-19,7,7206,7206,2.864483986944037,2.8715626467549167,0.019560355686500604,2.382200225954836,-0.02846606453503916,-0.03601535134230025
2,5-19,8,5699,5699,2.8290701000464713,2.8367834743285067,0.01929285839620987,2.656924243267322,-0.023873281068826635,-0.029854291031892535
2,5-19,9,4536,4536,2.803360380906535,2.811873444700797,0.019003527336860664,2.9207721539984814,-0.017475789416649533,-0.028111780509226244
3,1,1,40239,40239,3.6790816116338254,3.6794363332939786,0.03353773702129692,0.0,,
3,2-4,1,21633,21633,3.7534960971999087,3.769145141331339,0.03385111590977603,0.0,,
3,2-4,2,21633,21633,3.5700959181239695,3.5683244813431845,0.03440563773735288,0.5986858348215846,-0.2009446542768891,-0.26836595150331055
3,2-4,3,9030,9030,3.4511739861218613,3.4450670719919447,0.030229130411854807,1.158934205570471,-0.1126446686836066,-0.160257160911586
3,2-4,4,3247,3247,3.3666059368925363,3.361226357510974,0.03004568319474383,1.715628013880835,-0.06893799209501146,-0.09917226049496444
3,20+,1,1119,1119,3.7672284205249125,3.7856569800597186,0.030823652070300866,0.0,,
3,20+,10,1119,1119,2.985807929375504,2.9939948446603215,0.019675305332141797,2.2972042953846157,-0.02464879151139643,-0.04943562001913745
3,20+,11-20,11190,1119,2.8725680838998437,2.89219631412299,0.017480637473935166,3.370297218829043,-0.016376717398290625,-0.039905236387119514
3,20+,2,1119,1119,3.5284172316728752,3.529343624381842,0.031985403634197204,0.3485583167127512,-0.25631335567787666,-0.4125412655158802
3,20+,21-50,15062,1030,2.706048198431537,2.7424992558570938,0.015463307219050232,5.575732895892802,-0.004468076255776106,-0.006117072174408209
3,20+,3,1119,1119,3.3607829659608273,3.368749555668134,0.030095552347563063,0.6710367846431164,-0.16059406871370893,-0.25965896500016583
3,20+,4,1119,1119,3.2756341586868096,3.2683685995386185,0.023273330780033196,0.943516030332364,-0.10038095612951344,-0.19453309351687761
3,20+,5,1119,1119,3.2082192242488334,3.1938656997168855,0.022184986595174264,1.2201669752592483,-0.07414393020173504,-0.15282964388459166
3,20+,51+,7329,227,2.5327534637529157,2.6046534129645607,0.0105626465225319,9.302397498291922,-0.0010539568305075646,0.011802180612290774
3,20+,6,1119,1119,3.1415627217655304,3.1382543968792587,0.019630622579684242,1.451159222547695,-0.05554601119122611,-0.13168657945471784
3,20+,7,1119,1119,3.084392863513623,3.082100033350214,0.02281799225498958,1.700235357851021,-0.05583826971177666,-0.11560813426007943
3,20+,8,1119,1119,3.0342266828180464,3.0481478209371873,0.018647602025618118,1.9025884616928175,-0.034271272807978655,-0.07749333781899265
3,20+,9,1119,1119,3.0140632302387145,3.018643636171717,0.016964551683050347,2.097185385720358,-0.029504184765470776,-0.09905975755434993
3,5-19,1,7745,7745,3.7557200041978307,3.7738383436864504,0.033103881270440484,0.0,,
3,5-19,10,2174,2174,3.050220458838061,3.050787675925458,0.020668506593069586,2.954984999159895,-0.017920533586952017,-0.029500454321636154
3,5-19,11-20,6818,1735,2.9714395809849465,2.979873196217727,0.017529578566539555,3.812270470765583,-0.013851223941580431,-0.011039657313586545
3,5-19,2,7745,7745,3.5405884240596652,3.5445504437035793,0.031173875618678848,0.37476237797439976,-0.2294519324976347,-0.35063335672244256
3,5-19,3,7745,7745,3.401906571089362,3.39784102473256,0.028122598296904416,0.7751285169174442,-0.14667770918600045,-0.22783858327791445
3,5-19,4,7745,7745,3.3109079103146946,3.3090583312241515,0.02672209649614438,1.1830611066774772,-0.08889850658015784,-0.14854361026798474
3,5-19,5,7745,7745,3.2495989975110415,3.247865221601857,0.025286164233872525,1.6605909743994083,-0.06125676015890822,-0.08836354965477689
3,5-19,6,5706,5706,3.1947844825069804,3.189735002605995,0.024905407712978708,1.904744055105287,-0.0455425214541513,-0.06813665460384659
3,5-19,7,4414,4414,3.142858338444285,3.145650483894824,0.024568099171633374,2.205341915226553,-0.03365705120994004,-0.04562795318417273
3,5-19,8,3472,3472,3.1063787936410545,3.106958849201278,0.023156682027649745,2.4656595332518334,-0.03159287258170468,-0.0445675151465507
3,5-19,9,2685,2685,3.0662797489044067,3.074822697613673,0.020428305400372413,2.6940933569440864,-0.024129619899014708,-0.034504392493919255
4,1,1,51601,51601,4.1832707714165025,4.250388072964738,0.04670779728336719,0.0,,
4,2-4,1,14392,14392,4.2130160919396,4.27320575664227,0.048609181026496036,0.0,,
4,2-4,2,14392,14392,4.030872139266527,4.085279026244127,0.04680146377617179,0.6259206978019426,-0.1890182572888618,-0.2440693102027895
4,2-4,3,5382,5382,3.914819092730147,3.9430457236611565,0.040771708163012635,1.182216239931022,-0.12681387250552945,-0.17002187057512638
4,2-4,4,1867,1867,3.8431015599617244,3.855731287631283,0.04022495982860198,1.7399670327106829,-0.06993405994992512,-0.10040913999301299
4,20+,1,618,618,4.231639696410273,4.30572889911708,0.03851132686084143,0.0,,
4,20+,10,618,618,3.5245831478345626,3.5214836405191488,0.02114347357065804,2.3932408430246044,-0.03128267087789317,-0.03089188720883683
4,20+,11-20,6180,618,3.406019058185772,3.4105431557532766,0.021657227615965474,3.457444474370921,-0.017330220709388593,-0.023695928138346325
4,20+,2,618,618,4.000217016164062,4.0711629332667085,0.042651024811219,0.40405836677245915,-0.23745570056669632,-0.3604787890994688
4,20+,21-50,8087,567,3.264231526588998,3.240636840385081,0.015584683236470064,5.731352791261286,-0.00511898149856206,0.012653262199438166
4,20+,3,618,618,3.8770172031756553,3.8926289707670403,0.034250269687162896,0.7278623881863475,-0.17956420588846073,-0.30919411755851867
4,20+,4,618,618,3.796612153916818,3.8008938888056734,0.031445523193096014,0.9913482803119702,-0.0917350819613678,-0.1813963409724914
4,20+,5,618,618,3.7183168234751847,3.72393186357861,0.024973031283710905,1.263198522646644,-0.0769620252270622,-0.12830455658868395
4,20+,51+,4721,117,3.0010212018362887,3.0115930254020054,0.013713549389253685,9.358343612192193,-0.0010276789419204659,0.009668771809441479
4,20+,6,618,618,3.66791114767774,3.66647569703618,0.03473570658036679,1.488486624781563,-0.05555206860859913,-0.19863516838953554
4,20+,7,618,618,3.6020952403893745,3.615864233327193,0.02389428263214672,1.718798653366198,-0.05319031513280007,-0.07485235928186311
4,20+,8,618,618,3.5562048372093953,3.56912538298201,0.0237864077669903,1.9802687725336008,-0.045623013888731585,-0.090589587703232
4,20+,9,618,618,3.529003957025739,3.5527663113970416,0.02001078748651565,2.197684284455868,-0.01777035535595937,-0.05666263020564081
4,5-19,1,4125,4125,4.216562194946349,4.287465360608599,0.04667474747474755,0.0,,
4,5-19,10,1174,1174,3.5837965234254705,3.5727620140418925,0.029443498012492905,2.8852152660144275,-0.029335897016344294,-0.042374216262737255
4,5-19,11-20,3627,953,3.4907333469730104,3.483048813163257,0.02456575682382131,3.663165582235261,-0.015003612420181712,-0.013305070021719951
