comp_year,attempt_status,n
1982,DNF,1
1982,VALID,56
2003,DNF,1
2003,VALID,398
2004,DNF,36
2004,VALID,1775
2005,DNF,84
2005,DNS,6
2005,VALID,4656
2006,DNF,145
2006,DNS,28
2006,VALID,8305
2007,DNF,308
2007,DNS,29
2007,VALID,16514
2008,DNF,947
2008,DNS,15
2008,VALID,35483
2009,DNF,1874
2009,DNS,198
2009,VALID,63546
2010,DNF,2486
2010,DNS,103
2010,VALID,86440
2011,DNF,2855
2011,DNS,105
2011,VALID,106737
2012,DNF,2847
2012,DNS,111
2012,VALID,114970
2013,DNF,4021
2013,DNS,103
2013,VALID,151311
2014,DNF,5980
2014,DNS,176
2014,VALID,217227
2015,DNF,6578
2015,DNS,167
2015,VALID,279237
2016,DNF,8733
2016,DNS,296
2016,VALID,384933
2017,DNF,12565
2017,DNS,309
2017,VALID,554928
2018,DNF,15166
2018,DNS,277
2018,VALID,677655
2019,DNF,16363
2019,DNS,300
2019,VALID,757204
2020,DNF,2710
2020,DNS,72
2020,VALID,128772
2021,DNF,2194
2021,DNS,29
2021,VALID,109320
2022,DNF,13135
2022,DNS,205
2022,VALID,647044
2023,DNF,25280
2023,DNS,459
2023,VALID,1236031
2024,DNF,26147
2024,DNS,478
2024,VALID,1372326
2025,DNF,23567
2025,DNS,345
2025,VALID,1277906
2026,DNF,13267
2026,DNS,174
2026,VALID,735699
